"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20120101 ~ 20121231"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강남구 대치동","929-15","0929","0015","썬하우스","74.33","39.36","201203","2","50,000","2","2002","도곡로77길 30",""
"서울특별시 강남구 대치동","908-9","0908","0009","연립","67.9","94.5","201208","23","33,500","2","1977","역삼로64길 4",""
"서울특별시 강남구 대치동","898-6","0898","0006","장원하이츠빌라","64.44","27.7","201210","5","19,000","-1","1993","선릉로76길 5-7",""
"서울특별시 강남구 대치동","955-19","0955","0019","정인빌라","53.1","27.25","201209","14","24,500","2","1994","역삼로83길 12-5",""
"서울특별시 강남구 대치동","917-13","0917","0013","정진맨션(917-13)","84.57","37.36","201203","10","40,000","4","1996","역삼로74길 26",""
"서울특별시 강남구 대치동","954-22","0954","0022","지평타운","58.82","33.07","201202","10","40,000","4","2010","삼성로76길 23-6",""
"서울특별시 강남구 대치동","903-5","0903","0005","포스빌","77.61","42.4","201208","11","43,000","2","2002","역삼로 455-3",""
"서울특별시 강남구 대치동","933-6","0933","0006","현대빌라A","81.48","77.22","201207","16","72,000","2","1988","도곡로77길 15-1",""
"서울특별시 강남구 도곡동","456-12","0456","0012","HOUSERAUM","17.11","8.71","201208","5","15,000","4","2012","논현로26길 36-5",""
"서울특별시 강남구 도곡동","456-12","0456","0012","HOUSERAUM","16.87","8.59","201208","10","13,000","3","2012","논현로26길 36-5",""
"서울특별시 강남구 도곡동","456-12","0456","0012","HOUSERAUM","16.98","8.64","201208","20","13,500","5","2012","논현로26길 36-5",""
"서울특별시 강남구 도곡동","456-12","0456","0012","HOUSERAUM","16.81","8.56","201208","20","12,000","3","2012","논현로26길 36-5",""
"서울특별시 강남구 도곡동","456-12","0456","0012","HOUSERAUM","20.25","10.3","201208","20","14,500","3","2012","논현로26길 36-5",""
"서울특별시 강남구 도곡동","456-12","0456","0012","HOUSERAUM","17.77","9.04","201208","20","13,500","4","2012","논현로26길 36-5",""
"서울특별시 강남구 도곡동","456-12","0456","0012","HOUSERAUM","16.87","8.59","201208","20","13,000","4","2012","논현로26길 36-5",""
"서울특별시 강남구 도곡동","456-12","0456","0012","HOUSERAUM","19.97","10.16","201208","20","15,000","4","2012","논현로26길 36-5",""
"서울특별시 강남구 도곡동","456-12","0456","0012","HOUSERAUM","13.58","6.91","201208","20","11,500","5","2012","논현로26길 36-5",""
"서울특별시 강남구 도곡동","456-12","0456","0012","HOUSERAUM","15.47","7.87","201208","20","12,000","5","2012","논현로26길 36-5",""
"서울특별시 강남구 도곡동","456-12","0456","0012","HOUSERAUM","20.32","10.34","201208","20","14,500","3","2012","논현로26길 36-5",""
"서울특별시 강남구 도곡동","456-12","0456","0012","HOUSERAUM","20.32","10.34","201209","17","15,000","3","2012","논현로26길 36-5",""
"서울특별시 강남구 도곡동","456-12","0456","0012","HOUSERAUM","17.77","9.04","201209","17","14,000","4","2012","논현로26길 36-5",""
"서울특별시 강남구 도곡동","516-4","0516","0004","Merlin","82.16","48.78","201206","13","40,750","4","2003","논현로32길 19",""
"서울특별시 강남구 도곡동","457-13","0457","0013","금문빌라","84.78","49.47","201204","27","45,000","4","1994","논현로26길 42-3",""
"서울특별시 강남구 도곡동","457-13","0457","0013","금문빌라","84.78","49.46","201205","7","42,500","1","1994","논현로26길 42-3",""
"서울특별시 강남구 도곡동","452-13","0452","0013","금성다동","46.44","34.85","201206","14","21,500","2","1988","논현로26길 26",""
"서울특별시 강남구 도곡동","454-1","0454","0001","도곡아트빌라","40.95","23.81","201212","12","20,000","2","1995","논현로24길 38",""
"서울특별시 강남구 도곡동","919-3","0919","0003","도곡하이빌","112.49","52.3","201206","11","49,500","5","2005","남부순환로363길 9-6",""
"서울특별시 강남구 도곡동","456-11","0456","0011","리안빌리지","23.58","15.34","201211","10","21,300","4","2012","논현로26길 36-7",""
"서울특별시 강남구 도곡동","456-11","0456","0011","리안빌리지","26.09","15.46","201211","24","20,900","4","2012","논현로26길 36-7",""
"서울특별시 강남구 도곡동","948-2","0948","0002","삼경","114.62","71.56","201211","27","43,200","1","1998","도곡로2길 40",""
"서울특별시 강남구 도곡동","152-1","0152","0001","삼익빌라1","160.53","129.5","201206","5","128,000","3","1991","남부순환로379길 34",""
"서울특별시 강남구 도곡동","516-3","0516","0003","선경빌라","133.02","112.87","201208","28","80,000","2","1987","논현로30길 31",""
"서울특별시 강남구 도곡동","921-6","0921","0006","언주빌라","48.54","25.63","201202","23","28,500","4","2000","남부순환로361길 10",""
"서울특별시 강남구 도곡동","456-3","0456","0003","예원아트빌","61.38","30.72","201203","26","30,000","4","2003","논현로26길 42-8",""
"서울특별시 강남구 도곡동","456-3","0456","0003","예원아트빌","45.81","22.92","201210","29","26,000","5","2003","논현로26길 42-8",""
"서울특별시 강남구 도곡동","951-20","0951","0020","은광아트빌라","34.29","27.62","201209","21","34,000","1","1986","남부순환로355길 25",""
"서울특별시 강남구 도곡동","951-5","0951","0005","일광하이츠","83.1","73.66","201205","25","65,000","1","1990","남부순환로355길 33",""
"서울특별시 강남구 도곡동","951-5","0951","0005","일광하이츠","83.1","73.66","201205","25","65,000","1","1990","남부순환로355길 33",""
"서울특별시 강남구 도곡동","951-5","0951","0005","일광하이츠","83.1","73.66","201206","25","65,000","1","1990","남부순환로355길 33",""
"서울특별시 강남구 도곡동","424-14","0424","0014","조흥하이츠빌라","79.44","58.38","201211","1","40,000","1","1992","논현로26길 15",""
"서울특별시 강남구 삼성동","96-16","0096","0016","거봉빌리지(나동)","83.25","72.6","201201","30","55,400","-1","1988","영동대로118길 65-2",""
"서울특별시 강남구 삼성동","102-4","0102","0004","금향빌라","131.67","101.95","201205","14","90,000","5","1993","봉은사로109길 18",""
"서울특별시 강남구 삼성동","40-22","0040","0022","뉴한신빌라","84.34","40.6","201207","10","37,800","2","1991","봉은사로61길 29",""
"서울특별시 강남구 삼성동","93-3","0093","0003","대도빌라","54.12","52.94","201201","16","52,000","-1","1990","영동대로118길 37",""
"서울특별시 강남구 삼성동","96-12","0096","0012","동성빌라","123.84","113.63","201202","7","98,000","2","1993","봉은사로109길 50",""
"서울특별시 강남구 삼성동","69-9","0069","0009","서원빌라","48.81","36.6","201202","6","27,500","-1","1986","삼성로112길 17",""
"서울특별시 강남구 삼성동","69-9","0069","0009","서원빌라","48.78","36.59","201205","2","27,000","2","1986","삼성로112길 17",""
"서울특별시 강남구 삼성동","69-9","0069","0009","서원빌라","48.81","36.6","201211","15","28,000","-1","1986","삼성로112길 17",""
"서울특별시 강남구 삼성동","101-8","0101","0008","서진빌라(A동)","114.12","102.3","201212","17","69,000","1","1986","봉은사로109길 12",""
"서울특별시 강남구 삼성동","101-8","0101","0008","서진빌라(A동)","108.93","100.22","201212","19","70,500","3","1986","봉은사로109길 12",""
"서울특별시 강남구 삼성동","114-34","0114","0034","은탑파크빌","77.07","36.13","201206","15","40,400","2","1999","봉은사로 442-9",""
"서울특별시 강남구 삼성동","91-5","0091","0005","주양빌라","33.84","18.3","201207","6","25,000","-1","1999","영동대로114길 7-9",""
